dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587729387680891039,1237655108905795806,0.000102138635728496,147.55983431,54.60577636,1.466924,3.759347
587729388208848964,1237655109433753664,9.04804106527701E-06,124.01308049,41.37313903,1.222625,3.018227
587729388208848964,1237655109433753664,9.04804106527701E-06,124.01308049,41.37313903,1.222625,3.018227
587729388208848964,1237655109433753664,9.04804106527701E-06,124.01308049,41.37313903,1.222625,3.018227
587729747913343328,1237655469138248076,3.96084179456053E-06,234.10319548,1.82309766,1.992092,4.183623
587729748449493193,1237655469674397930,1.74105328058371E-06,232.41808154,2.15216033,1.796811,4.401772
587729752749965473,1237655473974870561,2.30457780904493E-06,259.54580786,28.30737257,1.526749,3.812017
587729773148569829,1237655494373474570,1.09678151812752E-06,213.80809202,-2.40485364,2.051661,4.05033
587729776907780103,1237655498132684806,1.84878238569556E-05,215.29833705,-2.63023624,0.9606982,2.400636
587729777979883766,1237655499204788466,6.92147144774064E-06,211.64203741,-1.93606219,1.946901,4.139737
587729778522062961,1237655499746967640,5.29047279939811E-06,223.66102739,-1.25909095,1.666469,3.674915
587730021715738749,1237655742940643442,2.23611855082324E-06,214.66641071,5.89500685,1.650039,5.013168
587730022788825222,1237655744013729898,7.13280045698544E-06,213.18799145,6.72335869,2.12693,5.916335
587730773337374808,1237656494562279502,2.8964852335933E-06,326.14602213,10.93932477,1.954154,4.332285
587730773338882558,1237656494563787175,1.50563600688351E-06,329.69113733,11.62145305,1.744958,4.122762
587730817365245979,1237656538590150830,1.56615227645064E-05,344.7265437,-9.34215114,1.497818,3.514197
587730846356406507,1237656567581311160,3.74480707323529E-06,326.41736531,-0.76591101,1.813728,4.066501
587730847964463584,1237656569189368278,4.13396452999549E-06,320.67915051,0.58342232,1.234728,3.153512
587730847965839804,1237656569190744490,3.2769511460003E-06,323.81407169,0.44855007,1.76079,4.910437
587730847965839804,1237656569190744490,3.2769511460003E-06,323.81407169,0.44855007,1.76079,4.910437
587730848501137816,1237656569726042481,2.55527880881519E-06,320.18315166,1.00191873,1.200727,2.584195
587730848501137816,1237656569726042481,2.55527880881519E-06,320.18315166,1.00191873,1.200727,2.584195
587730848501137816,1237656569726042481,2.55527880881519E-06,320.18315166,1.00191873,1.200727,2.584195
587730848501137816,1237656569726042481,2.55527880881519E-06,320.18315166,1.00191873,1.200727,2.584195
587731172232528388,1237656893457433055,2.29144788429348E-06,314.25158541,-0.98703576,1.119295,2.684116
587731185662558420,1237656906887463082,1.45016092132459E-06,349.78376994,-0.53289507,2.663038,8.049274
587731186207293641,1237656907432198376,6.09893528886116E-06,7.77277744,-0.00457001,1.507881,3.486727
587731186207293641,1237656907432198376,6.09893528886116E-06,7.77277744,-0.00457001,1.507881,3.486727
587731186208997544,1237656907433902279,5.23819545046871E-06,11.60966563,-0.07597669,1.842236,4.450049
587731186726928842,1237656907951833551,9.37722544398265E-07,328.38311146,0.29812786,0.9257584,2.465604
587731186726928842,1237656907951833551,9.37722544398265E-07,328.38311146,0.29812786,0.9257584,2.465604
587731186726928842,1237656907951833551,9.37722544398265E-07,328.38311146,0.29812786,0.9257584,2.465604
587731186726928842,1237656907951833551,9.37722544398265E-07,328.38311146,0.29812786,0.9257584,2.465604
587731186734465319,1237656907959370114,3.04506329305026E-06,345.61007278,0.22861435,1.947144,6.047206
587731186744230027,1237656907969134754,2.06669745810424E-06,7.89131328,0.22833375,1.6619,3.868021
587731187805782213,1237656909030686942,1.60769043829451E-06,339.97910695,1.1112005,2.450396,5.879217
587731187817054247,1237656909041959014,3.72235114449474E-05,5.75745748,1.18472568,0.7443576,1.527133
587731500256395413,1237657221481300129,0.00011773820344202,144.9002493,50.30551562,1.91723,5.558662
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731511539793980,1237657232764698696,6.23400491532237E-06,36.53416025,-0.8885488,0.8641431,2.115665
587731512076140753,1237657233301045458,1.52613338608725E-06,35.38840686,-0.43972156,1.399061,2.906394
587731512081842218,1237657233306747005,6.25935116434882E-06,48.34917227,-0.50102278,1.009508,2.648073
587731512081842218,1237657233306747005,6.25935116434882E-06,48.34917227,-0.50102278,1.009508,2.648073
587731512081842218,1237657233306747005,6.25935116434882E-06,48.34917227,-0.50102278,1.009508,2.648073
587731512081842218,1237657233306747005,6.25935116434882E-06,48.34917227,-0.50102278,1.009508,2.648073
587731512081842218,1237657233306747005,6.25935116434882E-06,48.34917227,-0.50102278,1.009508,2.648073
587731512620351634,1237657233845256370,5.53958108152646E-06,52.05278722,-0.16365971,1.598924,4.208427
587731512620351634,1237657233845256370,5.53958108152646E-06,52.05278722,-0.16365971,1.598924,4.208427
587731512620351634,1237657233845256370,5.53958108152646E-06,52.05278722,-0.16365971,1.598924,4.208427
587731512620351634,1237657233845256370,5.53958108152646E-06,52.05278722,-0.16365971,1.598924,4.208427
587731512620351634,1237657233845256370,5.53958108152646E-06,52.05278722,-0.16365971,1.598924,4.208427
587731512620351634,1237657233845256370,5.53958108152646E-06,52.05278722,-0.16365971,1.598924,4.208427
587731512620351634,1237657233845256370,5.53958108152646E-06,52.05278722,-0.16365971,1.598924,4.208427
587731512620351634,1237657233845256370,5.53958108152646E-06,52.05278722,-0.16365971,1.598924,4.208427
587731512620351634,1237657233845256370,5.53958108152646E-06,52.05278722,-0.16365971,1.598924,4.208427
587731514214776901,1237657235439681598,3.37846519483899E-06,15.10147358,1.22336013,1.396892,3.309115
587731514228080766,1237657235452985464,6.34993982450072E-07,45.51620007,1.18901422,1.199576,3.12337
587731514230964358,1237657235455869055,2.66717471845457E-06,52.01847186,1.11974152,1.142652,2.530075
587731514230964358,1237657235455869055,2.66717471845457E-06,52.01847186,1.11974152,1.142652,2.530075
587731514230964358,1237657235455869055,2.66717471845457E-06,52.01847186,1.11974152,1.142652,2.530075
587731679582355644,1237657400807260369,5.46731719189654E-06,135.3383101,42.12939062,3.461745,6.79578
587731869094117492,1237657590319022167,6.41279793798291E-05,167.91289933,53.62460067,1.234746,2.573711
587731869634986069,1237657590859890766,8.39317998111561E-05,183.50286979,55.28776289,2.751572,6.115141
