dr7objid,dr8objid,distance
587738615416422512,1237664336641327281,1.48580752510174E-05
587738947218505822,1237664668443410543,8.21234967335109E-06
587738947739451439,1237664668964356237,7.04507474334523E-06
587738947742531730,1237664668967436441,1.432652253004E-05
587738947742531730,1237664668967436441,1.432652253004E-05
587738947742531730,1237664668967436441,1.432652253004E-05
587738947749609551,1237664668974514247,7.8008355330663E-06
587738950418759798,1237664671643664523,3.32546470088496E-06
587738950418759798,1237664671643664523,3.32546470088496E-06
587738951497089165,1237664672721993891,6.28618877368429E-06
587738952030027937,1237664673254932662,4.50051603594469E-06
587738952030027937,1237664673254932662,4.50051603594469E-06
587739096994742360,1237664818219647055,6.15030481016793E-06
587739098069008499,1237664819293913181,4.53509444474634E-06
587739133493969058,1237664854718873760,1.85081429459576E-05
587739133493969058,1237664854718873760,1.85081429459576E-05
587739152816406654,1237664874041311355,1.97861018725429E-06
587739157657944218,1237664878882848899,9.66228963336868E-06
587739158184329455,1237664879409234146,4.45934581993664E-06
587739294013784146,1237665015238688860,2.24936797502986E-06
587739294550851627,1237665015775756318,5.90150759847007E-06
587739303687684249,1237665024912588949,3.00521752753505E-05
587739304216363160,1237665025441267860,1.80983367726972E-06
587739304760180913,1237665025985085670,8.39659962172176E-06
587739377235263669,1237665098460168358,4.44655949960216E-06
587739377239720059,1237665098464624767,7.89944840176262E-06
587739379910377596,1237665101135282353,1.07312156796287E-05
587739379910377596,1237665101135282353,1.07312156796287E-05
587739379915686019,1237665101140590752,5.14957181167185E-06
587739380452360390,1237665101677265100,1.32751600621905E-06
587739380452360390,1237665101677265100,1.32751600621905E-06
587739380455047185,1237665101679951977,4.83392166734978E-06
587739380455047185,1237665101679951977,4.83392166734978E-06
587739382064611490,1237665103289516165,3.0513566731277E-06
587739386353090831,1237665107577995478,8.86558592282447E-06
587739405700694125,1237665126925598820,6.80900541732433E-06
587739405701283947,1237665126926188640,2.62025880311486E-06
587739405701283947,1237665126926188640,2.62025880311486E-06
587739406265811249,1237665127490715968,1.63519607873944E-06
587739406265811249,1237665127490715968,1.63519607873944E-06
587739406796128353,1237665128021033040,2.50462723117185E-06
587739407330836568,1237665128555741269,2.89954865632098E-06
587739407330836568,1237665128555741269,2.89954865632098E-06
587739407342960956,1237665128567865675,1.48495980446132E-06
587739408400515175,1237665129625419881,7.05188311305247E-06
587739408400515175,1237665129625419881,7.05188311305247E-06
587739457225228447,1237665178450133179,6.70639375843845E-06
587739505009819697,1237665226234724401,2.44878648625915E-06
587739505009819697,1237665226234724401,2.44878648625915E-06
587739505009819697,1237665226234724401,2.44878648625915E-06
587739509834711155,1237665231059616117,6.76825363328746E-06
587739509834776960,1237665231059681638,4.689626375432E-06
587739608094277773,1237665329319182473,6.34819389074308E-06
587739608623480908,1237665329848385610,6.92332014355843E-06
587739609700237386,1237665330925142138,8.0216904776183E-06
587739609701417107,1237665330926321839,1.56521279788916E-05
587739609701417107,1237665330926321839,1.56521279788916E-05
587739610242613382,1237665331467518088,1.93227203453266E-05
587739630097334473,1237665351322239190,5.95796568239686E-06
587739630633812088,1237665351858716763,3.86835837774655E-06
587739631705456690,1237665352930361389,4.25049276798553E-06
587739647274188937,1237665368499093646,9.65946180627987E-06
587739647274188937,1237665368499093646,9.65946180627987E-06
587739647274188937,1237665368499093646,9.65946180627987E-06
587739647274778821,1237665368499683562,4.37423944255568E-06
587739647818924056,1237665369043828761,9.91452051080554E-06
587739652645191882,1237665373870096406,6.52163931763874E-06
587739652645191882,1237665373870096406,6.52163931763874E-06
587739706334511173,1237665427559415857,7.15568263433543E-06
587739706334511173,1237665427559415857,7.15568263433543E-06
587739707950366866,1237665429175271557,4.61924111367567E-06
587739707952857206,1237665429177761893,4.52812572964248E-06
587739708480290909,1237665429705195610,1.33488787823406E-06
587739719216070720,1237665440440975421,1.36315744219687E-06
587739719216070720,1237665440440975421,1.36315744219687E-06
587739720303116413,1237665441528021120,2.90404779225035E-06
587739720838480070,1237665442063384755,6.30341418306011E-06
587739721091907694,1237665442048376933,3.332529396795E-06
587739721091907694,1237665442048376933,3.332529396795E-06
587739721091907694,1237665442048376933,3.332529396795E-06
587739721913270419,1237665443138175119,1.87928230556238E-06
587739811565404212,1237665532790309042,9.85437739249706E-06
587739814780993752,1237665536005898412,2.08568727606284E-06
587739814781452645,1237665536006357347,6.2450723685857E-06
587739827130400790,1237665548355305595,3.92215449446363E-06
587739827130400790,1237665548355305595,3.92215449446363E-06
587741391572500732,1237667112797405246,4.84530030699311E-06
587741421096861831,1237667142321766846,8.79892011583804E-07
587741421096861831,1237667142321766846,8.79892011583804E-07
587741421096861831,1237667142321766846,8.79892011583804E-07
587741421096861831,1237667142321766846,8.79892011583804E-07
587741488764026980,1237667209988931655,7.40199036839712E-06
587741488764944447,1237667209989849155,3.06431930162132E-06
587741488764944447,1237667209989849155,3.06431930162132E-06
587741488764944447,1237667209989849155,3.06431930162132E-06
587741488764944447,1237667209989849155,3.06431930162132E-06
