dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587731870163665077,1237657591388569770,7.66265184621537E-05,152.81238101,51.21935053,1.236232,3.053338
587731870163665077,1237657591388569770,7.66265184621537E-05,152.81238101,51.21935053,1.236232,3.053338
587731870168973474,1237657591393878152,0.000112063452882343,172.05606291,55.00450792,2.316347,6.285367
587731870168973474,1237657591393878152,0.000112063452882343,172.05606291,55.00450792,2.316347,6.285367
587731886804435296,1237657608029340018,4.62357540809001E-06,114.49534639,27.88877387,2.120698,4.68735
587731889504911512,1237657610729816263,7.33401751393235E-05,182.23375895,56.53629951,2.806638,6.414392
587731890581340192,1237657611806244983,5.67443544870462E-05,193.32948767,57.06866743,3.677758,9.942668
587731891112902733,1237657612337807420,7.73492216658469E-05,170.92998464,56.94381314,3.142647,8.609049
587731891112902733,1237657612337807420,7.73492216658469E-05,170.92998464,56.94381314,3.142647,8.609049
587731891653247044,1237657612878151752,6.29240174478877E-05,185.64472737,58.27958243,1.876722,4.699883
587732053243003160,1237657774467907843,2.43252122654281E-06,132.5361783,37.87707734,2.612963,6.227069
587732053243003160,1237657774467907843,2.43252122654281E-06,132.5361783,37.87707734,2.612963,6.227069
587732053779873963,1237657775004778650,4.60322666672272E-06,132.24151242,38.05107765,1.917683,5.111675
587732054313140429,1237657775538045120,8.84060724208588E-05,124.23589086,32.89713287,1.635867,4.345973
587732135919288453,1237657857144193179,5.91291457294741E-05,170.39644247,51.85711545,2.401247,6.249186
587732156855091491,1237657878079996189,2.68686824261482E-06,124.5104498,30.32724128,1.897109,5.858777
587732156855943366,1237657878080848071,6.60326017388727E-06,126.23619826,31.44029889,2.057564,4.766383
587732156855943366,1237657878080848071,6.60326017388727E-06,126.23619826,31.44029889,2.057564,4.766383
587732156855943366,1237657878080848071,6.60326017388727E-06,126.23619826,31.44029889,2.057564,4.766383
587732157392552236,1237657878617456941,1.9049035447323E-05,125.37946606,31.46205471,2.259504,5.326965
587732484898685004,1237658206123589715,8.28183356281707E-05,190.18800268,50.94018463,2.166326,5.392341
587732484898685004,1237658206123589715,8.28183356281707E-05,190.18800268,50.94018463,2.166326,5.392341
587732484898685004,1237658206123589715,8.28183356281707E-05,190.18800268,50.94018463,2.166326,5.392341
587732484898685004,1237658206123589715,8.28183356281707E-05,190.18800268,50.94018463,2.166326,5.392341
587732577233666081,1237658298458570785,6.74820614856609E-06,154.55951645,5.65248799,3.391137,8.407019
587732579381477563,1237658300606382281,1.74678325826791E-05,155.24692773,7.39867942,3.21327,7.855122
587732582053904594,1237658303278809286,7.31673946620136E-05,159.79683355,57.2713424,3.654844,8.87861
587732582057181190,1237658303282085896,6.20466512240497E-05,173.3153496,59.28232386,2.983014,7.422288
587732582594183300,1237658303819087991,8.10889356900181E-05,173.81112397,59.8193031,1.949496,5.495201
587732582594183300,1237658303819087991,8.10889356900181E-05,173.81112397,59.8193031,1.949496,5.495201
587732591179661439,1237658312404566145,9.36516206534875E-05,186.74763695,60.27982218,2.335944,5.393856
587732591179661439,1237658312404566145,9.36516206534875E-05,186.74763695,60.27982218,2.335944,5.393856
587732591183331482,1237658312408236251,7.87909342312413E-05,203.17968755,59.02627346,1.888739,5.394753
587732591183331482,1237658312408236251,7.87909342312413E-05,203.17968755,59.02627346,1.888739,5.394753
587732591183331482,1237658312408236251,7.87909342312413E-05,203.17968755,59.02627346,1.888739,5.394753
587732591183331482,1237658312408236251,7.87909342312413E-05,203.17968755,59.02627346,1.888739,5.394753
587732591183331482,1237658312408236251,7.87909342312413E-05,203.17968755,59.02627346,1.888739,5.394753
587732591183331482,1237658312408236251,7.87909342312413E-05,203.17968755,59.02627346,1.888739,5.394753
587732591717515370,1237658312942420202,8.52750219657103E-05,191.27253421,60.54807679,2.178291,5.158805
587732701263036523,1237658422487941229,1.22750660657571E-06,178.05190228,6.47919193,1.881865,5.335124
587732701263036523,1237658422487941229,1.22750660657571E-06,178.05190228,6.47919193,1.881865,5.335124
587732701264871558,1237658422489776255,9.49121650083533E-06,182.27121048,6.6349701,3.534126,8.038979
587732701264871558,1237658422489776255,9.49121650083533E-06,182.27121048,6.6349701,3.534126,8.038979
587732701795254400,1237658423020159075,2.42170351559022E-06,167.37217108,6.56120833,2.149655,5.478188
587732702326030503,1237658423550935223,1.02808657381518E-05,153.28868645,6.22617037,1.266123,3.782246
